date,price,market_cap,ath_value,ath_date,symbol,name
2022-01-01,511.8047669798138,86323960659.40782,675.0989738046136,2021-05-04,bnb,BNB
2022-01-02,528.8656538402871,88661538317.93062,675.0989738046136,2021-05-04,bnb,BNB
2022-01-03,531.645840127719,89522189019.5565,675.0989738046136,2021-05-04,bnb,BNB
2022-01-04,513.2364309427686,86379864692.99603,675.0989738046136,2021-05-04,bnb,BNB
2022-01-05,508.8018048065927,86116119394.8199,675.0989738046136,2021-05-04,bnb,BNB
2022-01-06,476.5790020168917,80376575794.46985,675.0989738046136,2021-05-04,bnb,BNB
2022-01-07,474.7851450069993,80086178245.53891,675.0989738046136,2021-05-04,bnb,BNB
2022-01-08,448.5788395543549,75431982009.16672,675.0989738046136,2021-05-04,bnb,BNB
2022-01-09,430.9294223359252,72662332918.36339,675.0989738046136,2021-05-04,bnb,BNB
2022-01-10,439.156625815727,73802928625.34749,675.0989738046136,2021-05-04,bnb,BNB
2022-01-11,425.3108797625643,71469070530.31258,675.0989738046136,2021-05-04,bnb,BNB
2022-01-12,463.4275547369332,78027582165.11958,675.0989738046136,2021-05-04,bnb,BNB
2022-01-13,486.90638492744864,81968927554.14449,675.0989738046136,2021-05-04,bnb,BNB
2022-01-14,476.5975674395728,80256860311.51465,675.0989738046136,2021-05-04,bnb,BNB
2022-01-15,490.0587450233676,82170008339.50629,675.0989738046136,2021-05-04,bnb,BNB
2022-01-16,495.2248671575,83034121647.52852,675.0989738046136,2021-05-04,bnb,BNB
2022-01-17,498.5998606989367,83904334598.77933,675.0989738046136,2021-05-04,bnb,BNB
2022-01-18,476.3945519061945,80113395111.70406,675.0989738046136,2021-05-04,bnb,BNB
2022-01-19,471.7584509780221,79371321638.67601,675.0989738046136,2021-05-04,bnb,BNB
2022-01-20,464.38929629781495,78467831653.85156,675.0989738046136,2021-05-04,bnb,BNB
2022-01-21,441.5417572067395,74494921473.01782,675.0989738046136,2021-05-04,bnb,BNB
2022-01-22,383.86404934716313,64653946477.53362,675.0989738046136,2021-05-04,bnb,BNB
2022-01-23,359.0134419494436,60116625363.670944,675.0989738046136,2021-05-04,bnb,BNB
2022-01-24,383.3773709361465,64459934780.33848,675.0989738046136,2021-05-04,bnb,BNB
2022-01-25,372.5032006223924,62631584015.912094,675.0989738046136,2021-05-04,bnb,BNB
2022-01-26,385.1048428042205,64635129351.40751,675.0989738046136,2021-05-04,bnb,BNB
2022-01-27,376.4547135125805,63597418218.23682,675.0989738046136,2021-05-04,bnb,BNB
2022-01-28,391.3431655632998,65799279877.53618,675.0989738046136,2021-05-04,bnb,BNB
2022-01-29,386.6374670963409,64930462385.454254,675.0989738046136,2021-05-04,bnb,BNB
2022-01-30,390.1593565970201,65455197964.94471,675.0989738046136,2021-05-04,bnb,BNB
2022-01-31,378.3370193560595,63620799335.23713,675.0989738046136,2021-05-04,bnb,BNB
2022-02-01,376.51047776345945,63111084940.62619,675.0989738046136,2021-05-04,bnb,BNB
2022-02-02,386.4213700097077,64988396077.18928,675.0989738046136,2021-05-04,bnb,BNB
2022-02-03,367.78060888976273,61845292783.10847,675.0989738046136,2021-05-04,bnb,BNB
2022-02-04,370.67591619482783,62279822866.07972,675.0989738046136,2021-05-04,bnb,BNB
2022-02-05,400.05369289690856,67023578508.59132,675.0989738046136,2021-05-04,bnb,BNB
2022-02-06,414.64214989920873,69907252285.91177,675.0989738046136,2021-05-04,bnb,BNB
2022-02-07,419.7392671915181,70526761117.54468,675.0989738046136,2021-05-04,bnb,BNB
2022-02-08,433.95641989576353,73021174370.41232,675.0989738046136,2021-05-04,bnb,BNB
2022-02-09,409.4113755057999,68941548308.23026,675.0989738046136,2021-05-04,bnb,BNB
2022-02-10,422.3103580630925,71003391605.57011,675.0989738046136,2021-05-04,bnb,BNB
2022-02-11,415.5170960475197,69943257673.95715,675.0989738046136,2021-05-04,bnb,BNB
2022-02-12,400.9747011099451,67387149413.09772,675.0989738046136,2021-05-04,bnb,BNB
2022-02-13,403.39577764667735,67644926163.61093,675.0989738046136,2021-05-04,bnb,BNB
2022-02-14,399.29362973121937,67161724930.411766,675.0989738046136,2021-05-04,bnb,BNB
2022-02-15,403.57720920349806,67927392995.63532,675.0989738046136,2021-05-04,bnb,BNB
2022-02-16,433.4728144640104,72921371863.18454,675.0989738046136,2021-05-04,bnb,BNB
2022-02-17,428.8180875718536,72209779015.14417,675.0989738046136,2021-05-04,bnb,BNB
2022-02-18,402.6685524727072,67768130125.47836,675.0989738046136,2021-05-04,bnb,BNB
2022-02-19,399.9639648357322,67290288640.625626,675.0989738046136,2021-05-04,bnb,BNB
2022-02-20,400.6940738297616,67268132030.639,675.0989738046136,2021-05-04,bnb,BNB
2022-02-21,381.5753630415743,64427436020.24641,675.0989738046136,2021-05-04,bnb,BNB
2022-02-22,356.95637673151066,60272497691.14773,675.0989738046136,2021-05-04,bnb,BNB
2022-02-23,374.4295685151946,62997037014.43592,675.0989738046136,2021-05-04,bnb,BNB
2022-02-24,367.5251688253597,61823423821.17144,675.0989738046136,2021-05-04,bnb,BNB
2022-02-25,361.3380734966986,60666123711.91457,675.0989738046136,2021-05-04,bnb,BNB
2022-02-26,375.03608137178696,63040996747.37649,675.0989738046136,2021-05-04,bnb,BNB
2022-02-27,373.7079661445891,62626174042.79944,675.0989738046136,2021-05-04,bnb,BNB
2022-02-28,361.2948659522814,60867607019.91464,675.0989738046136,2021-05-04,bnb,BNB
2022-03-01,395.8121028222852,66424867796.34133,675.0989738046136,2021-05-04,bnb,BNB
2022-03-02,409.3528497327248,68682205857.10456,675.0989738046136,2021-05-04,bnb,BNB
2022-03-03,409.2816691541611,68815406699.78511,675.0989738046136,2021-05-04,bnb,BNB
2022-03-04,402.97758410846944,67836012886.51726,675.0989738046136,2021-05-04,bnb,BNB
2022-03-05,375.0267575042342,63038204707.347404,675.0989738046136,2021-05-04,bnb,BNB
2022-03-06,385.44055544847913,64694552915.98726,675.0989738046136,2021-05-04,bnb,BNB
2022-03-07,375.2821061110737,63077523633.75106,675.0989738046136,2021-05-04,bnb,BNB
