date,price,market_cap,ath_value,ath_date,symbol,name
2022-01-01,0.1705322472018889,22624643574.053078,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-01-02,0.1736204372161099,23034356103.54306,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-01-03,0.1745648540730295,23189354835.90113,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-01-04,0.1704414219341323,22621528777.44545,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-01-05,0.1685857039418181,22445213952.88366,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-01-06,0.1599997344208483,21240335819.34465,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-01-07,0.1604867436692673,21332694300.48355,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-01-08,0.1552637333285001,20611402208.17401,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-01-09,0.1513437592059787,20139878464.32505,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-01-10,0.1505359105483446,19964400634.005413,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-01-11,0.143306860422022,19012630701.607903,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-01-12,0.1536522288495566,20385158637.852898,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-01-13,0.1614966105548395,21425878754.152885,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-01-14,0.1726784637029609,22909383757.60333,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-01-15,0.1836034599663141,24358811361.835896,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-01-16,0.1850080383032168,24545157843.31185,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-01-17,0.1776476820509788,23590498626.483257,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-01-18,0.1714586670499026,22747552403.351643,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-01-19,0.1653693356417183,21963345668.81337,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-01-20,0.1624538977198607,21552882773.990726,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-01-21,0.1551820598312276,20710594131.613968,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-01-22,0.142102136015368,18923128291.17786,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-01-23,0.1334106112103196,17699687754.98912,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-01-24,0.1416650474625493,18771666642.58346,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-01-25,0.1378618426341678,18317867949.094635,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-01-26,0.1437767872082321,19074976247.49937,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-01-27,0.1439773268617456,19186152852.94685,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-01-28,0.1419398494895736,18831268316.39366,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-01-29,0.142017427690667,18841560675.62572,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-01-30,0.1435321135844796,19007291975.284374,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-01-31,0.1397243902141018,18537341641.041515,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-02-01,0.1421747264945134,18798749873.748257,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-02-02,0.1428447511533432,18951322311.742207,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-02-03,0.1375853952230344,18236982942.11795,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-02-04,0.1378586953190355,18289818473.36266,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-02-05,0.1481271400878918,19456319030.165108,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-02-06,0.1473660379561703,19551164887.492306,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-02-07,0.1539874628341199,20429634386.804207,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-02-08,0.1657696734482247,22036370847.36431,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-02-09,0.1586624916379597,21049874031.33365,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-02-10,0.1594033550658407,21149063223.42696,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-02-11,0.1520677102983617,20203130340.15188,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-02-12,0.1450172241262854,19250932075.40593,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-02-13,0.1444774265379313,19167930602.86915,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-02-14,0.1489760898577896,19756196187.587437,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-02-15,0.1460745977858755,19379828533.05171,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-02-16,0.1517723440624521,20205513014.86828,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-02-17,0.1491900804266336,19793161996.16413,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-02-18,0.1390000099435972,18448059490.68113,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-02-19,0.13893287703586,18432330982.73074,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-02-20,0.1414546794429693,18712230030.190487,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-02-21,0.1372593261793182,18210299711.4986,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-02-22,0.1285260549757239,17175378103.537403,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-02-23,0.1317379754944709,17498675789.226795,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-02-24,0.1281879724657364,17006796281.083015,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-02-25,0.1239757278294464,16447954565.768291,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-02-26,0.1279148821508633,16970565180.285915,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-02-27,0.1277047682858324,16904081014.60324,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-02-28,0.1236685344740921,16368162696.822392,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-03-01,0.1332501976459067,17644834541.64013,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-03-02,0.1342779657368717,17792137067.533512,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-03-03,0.133195047519406,17671088755.36031,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-03-04,0.1298118125373585,17232959905.13829,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-03-05,0.1226394729240305,16270672606.167295,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-03-06,0.1254083122009972,16633635745.92452,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-03-07,0.1209147511306232,16022285140.030806,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-03-08,0.1172176089881242,15550670944.30081,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-03-09,0.1169521448186068,15509340477.457104,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-03-10,0.1214874266914231,16125521633.897732,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-03-11,0.1169234042048001,15513048239.107883,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-03-12,0.1155651036664622,15378091510.664772,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-03-13,0.1150808015585256,15292272004.841995,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-03-14,0.1117757131982043,14829369300.171516,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-03-15,0.113846994963872,15094262969.345552,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-03-16,0.1127503716409616,14976874936.795795,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-03-17,0.1169236669664077,15312260997.697603,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-03-18,0.1164940395743361,15455353266.709269,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-03-19,0.1193943943739875,15840145554.719898,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-03-20,0.1234642215030009,16406470450.747622,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-03-21,0.1191639796420505,15829078265.846037,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-03-22,0.1192458930957338,15801818878.8295,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-03-23,0.1223767724481585,16238962822.171598,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-03-24,0.1295610298893356,17166493310.803734,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-03-25,0.1362264580614892,18085352081.106976,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-03-26,0.1309125541196697,17372121466.21083,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-03-27,0.1359547557730957,18037221358.622047,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-03-28,0.144318533352255,19159099440.94978,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-03-29,0.1425490117202059,18912086335.11428,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-03-30,0.1443928028313358,19156703511.03722,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-03-31,0.143361061263623,19046182054.000004,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-04-01,0.1378225554906148,18285023774.70442,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-04-02,0.1412245081150892,18736363429.505463,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-04-03,0.1389521112010648,18434882794.129143,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-04-04,0.1461129790272189,19342108550.76761,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-04-05,0.1484907130720955,19686180868.269463,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-04-06,0.1721654162651431,22841317361.905937,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-04-07,0.1434147972743864,19026950766.3072,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-04-08,0.1461078802120645,19384244137.97197,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-04-09,0.1425302871404732,18909602130.809933,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-04-10,0.1444573064267476,19165261252.340595,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-04-11,0.1502287250301101,19987358570.522083,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-04-12,0.1343186579589902,17820159011.155285,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-04-13,0.138435306280876,18332874080.115364,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-04-14,0.1402965900918876,18613255836.159664,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-04-15,0.1441117161453522,19135452488.479843,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-04-16,0.1462233599382253,19399564921.502853,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-04-17,0.1440216140166395,19107457607.2919,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-04-18,0.1393833679949484,18492097962.583187,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-04-19,0.1402212156271923,18560726316.805576,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-04-20,0.1426943113150319,18929050351.22202,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-04-21,0.1408382233006665,18680026272.03527,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-04-22,0.1364362602350469,18101102923.60291,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-04-23,0.1365387504070101,18114700373.050507,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-04-24,0.134233392791357,17808846816.197216,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-04-25,0.1319012905007061,17539092687.942547,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-04-26,0.1574560886355157,20889819622.945736,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-04-27,0.1380321212716076,18349006707.824966,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-04-28,0.140246213342288,18520301626.48391,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-04-29,0.1372144283830234,18195861479.252583,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-04-30,0.1350801426326474,17933830962.139313,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-05-01,0.1277548518436592,16949333837.117989,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-05-02,0.1330344045901393,17649776135.15511,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-05-03,0.1311468289634372,17399350034.08669,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-05-04,0.1298609402102302,17210184949.768993,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-05-05,0.1359945240821528,17998354158.505836,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-05-06,0.1285570465709727,17071972003.639244,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-05-07,0.1280901371932431,17045855793.431871,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-05-08,0.1277927785245033,16961587503.908892,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-05-09,0.1242239538686236,16480886904.10508,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-05-10,0.1050767558128506,13940613503.84422,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-05-11,0.1082318884133069,14356655182.113956,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-05-12,0.0842542676468065,11245628695.393831,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-05-13,0.0830307495134744,11029602361.959702,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-05-14,0.0884622644734047,11736356239.38597,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-05-15,0.0900262081457357,11957938633.761251,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-05-16,0.093172770085769,12361302619.217283,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-05-17,0.0879959475015697,11674489610.3266,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-05-18,0.090419134367195,12003154911.17851,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-05-19,0.0839874056982589,11164647985.005589,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-05-20,0.0870740525151797,11561042354.426256,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-05-21,0.0845194125482852,11219266963.979424,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-05-22,0.0845343858986514,11215241586.79627,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-05-23,0.0863370800641066,11454406399.526173,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-05-24,0.083877609802147,11128106600.099129,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-05-25,0.0837454808435665,11102784069.14862,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-05-26,0.0836745598834525,11141351865.763996,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-05-27,0.0788158905418532,10456564437.16446,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-05-28,0.0814481963841738,10820124403.65529,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-05-29,0.082190773815489,10904312780.500645,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-05-30,0.083535799937801,11082758424.151102,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-05-31,0.0879262785589363,11658820775.232237,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-06-01,0.0860490398850663,11416191888.823816,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-06-02,0.0814612634132019,10752855720.386988,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-06-03,0.0828058259740694,10985912220.4638,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-06-04,0.0803536641345642,10664473289.14563,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-06-05,0.0817747579373954,10827205169.35924,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-06-06,0.0819716412815964,10875240299.746147,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-06-07,0.0830944525497163,11024204528.85214,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-06-08,0.080825242188652,10723146655.8925,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-06-09,0.0800381546792962,10618723154.455372,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-06-10,0.0802351396445072,10585015677.429718,0.6818416367796407,2021-05-08,doge,Dogecoin
2022-06-11,0.0756303704463905,10033939051.406752,0.6818416367796407,2021-05-08,doge,Dogecoin
