date,price,market_cap,ath_value,ath_date,symbol,name
2022-01-01,1.3107198504184556,42196254346.32806,2.96707544958908,2021-09-04,ada,Cardano
2022-01-02,1.3784051988386994,44200479605.33392,2.96707544958908,2021-09-04,ada,Cardano
2022-01-03,1.3795032561094718,44292070955.55458,2.96707544958908,2021-09-04,ada,Cardano
2022-01-04,1.3239481300470195,42579298186.5298,2.96707544958908,2021-09-04,ada,Cardano
2022-01-05,1.3118426946813653,42361773516.50891,2.96707544958908,2021-09-04,ada,Cardano
2022-01-06,1.239527837177041,39972161973.40968,2.96707544958908,2021-09-04,ada,Cardano
2022-01-07,1.279608995890216,41181327448.57284,2.96707544958908,2021-09-04,ada,Cardano
2022-01-08,1.2144893663815632,38940980400.86951,2.96707544958908,2021-09-04,ada,Cardano
2022-01-09,1.1886263321119366,38305510646.897575,2.96707544958908,2021-09-04,ada,Cardano
2022-01-10,1.1749797373767104,37584527637.96972,2.96707544958908,2021-09-04,ada,Cardano
2022-01-11,1.1307224782864616,36302150872.95676,2.96707544958908,2021-09-04,ada,Cardano
2022-01-12,1.18667167026448,38098252395.75478,2.96707544958908,2021-09-04,ada,Cardano
2022-01-13,1.3060435462054063,41891466165.21188,2.96707544958908,2021-09-04,ada,Cardano
2022-01-14,1.2367290015435135,39819346582.17602,2.96707544958908,2021-09-04,ada,Cardano
2022-01-15,1.291350930663094,41149779253.900505,2.96707544958908,2021-09-04,ada,Cardano
2022-01-16,1.2961904584039028,41629341033.15005,2.96707544958908,2021-09-04,ada,Cardano
2022-01-17,1.4093051419997442,45306926785.96513,2.96707544958908,2021-09-04,ada,Cardano
2022-01-18,1.5892889271039394,50522872800.3961,2.96707544958908,2021-09-04,ada,Cardano
2022-01-19,1.4708324109329851,47247124368.95572,2.96707544958908,2021-09-04,ada,Cardano
2022-01-20,1.3427761925004429,43125375198.71007,2.96707544958908,2021-09-04,ada,Cardano
2022-01-21,1.2605743103846896,40662405607.01851,2.96707544958908,2021-09-04,ada,Cardano
2022-01-22,1.1220401952271295,36368173704.2542,2.96707544958908,2021-09-04,ada,Cardano
2022-01-23,1.071909388330883,34256465787.333424,2.96707544958908,2021-09-04,ada,Cardano
2022-01-24,1.1211271247271826,35957697983.57456,2.96707544958908,2021-09-04,ada,Cardano
2022-01-25,1.0699081537081911,34308092836.127853,2.96707544958908,2021-09-04,ada,Cardano
2022-01-26,1.0456920570711623,33519647999.373238,2.96707544958908,2021-09-04,ada,Cardano
2022-01-27,1.078198211113442,34783150528.86953,2.96707544958908,2021-09-04,ada,Cardano
2022-01-28,1.0478747698291455,33601561740.91527,2.96707544958908,2021-09-04,ada,Cardano
2022-01-29,1.0529690590987757,33733183103.563057,2.96707544958908,2021-09-04,ada,Cardano
2022-01-30,1.063430567404145,34002313217.462536,2.96707544958908,2021-09-04,ada,Cardano
2022-01-31,1.0391204356438395,33352205324.627453,2.96707544958908,2021-09-04,ada,Cardano
2022-02-01,1.054751014934754,33717971205.78224,2.96707544958908,2021-09-04,ada,Cardano
2022-02-02,1.0903286876813183,34804039586.978775,2.96707544958908,2021-09-04,ada,Cardano
2022-02-03,1.031453422368385,33051606754.56344,2.96707544958908,2021-09-04,ada,Cardano
2022-02-04,1.0564237774530991,33875277868.73072,2.96707544958908,2021-09-04,ada,Cardano
