date,price,market_cap,ath_value,ath_date,symbol,name
2023-01-01,4.3133241665592,5124272924.061023,54.14285984546231,2021-11-05,dot,Polkadot
2023-01-02,4.370398234173801,5189797451.493689,54.14285984546231,2021-11-05,dot,Polkadot
2023-01-03,4.488836626124295,5333559989.932448,54.14285984546231,2021-11-05,dot,Polkadot
2023-01-04,4.527619435836773,5374172553.766793,54.14285984546231,2021-11-05,dot,Polkadot
2023-01-05,4.632589621042435,5501400960.100924,54.14285984546231,2021-11-05,dot,Polkadot
2023-01-06,4.618387481116268,5486559228.853257,54.14285984546231,2021-11-05,dot,Polkadot
2023-01-07,4.6874963649585375,5575400373.862744,54.14285984546231,2021-11-05,dot,Polkadot
2023-01-08,4.667867731193827,5544971196.399066,54.14285984546231,2021-11-05,dot,Polkadot
2023-01-09,4.78165995093069,5678600122.934231,54.14285984546231,2021-11-05,dot,Polkadot
2023-01-10,4.889549960346178,5822967240.545416,54.14285984546231,2021-11-05,dot,Polkadot
2023-01-11,4.915667367848903,5844614796.573698,54.14285984546231,2021-11-05,dot,Polkadot
2023-01-12,5.133530065782115,6104959456.841534,54.14285984546231,2021-11-05,dot,Polkadot
2023-01-13,5.227868294639788,6225980707.135592,54.14285984546231,2021-11-05,dot,Polkadot
2023-01-14,5.404097385583974,6418896549.379607,54.14285984546231,2021-11-05,dot,Polkadot
2023-01-15,6.028214515143082,7185441825.556078,54.14285984546231,2021-11-05,dot,Polkadot
2023-01-16,5.934370777642712,7048844533.072695,54.14285984546231,2021-11-05,dot,Polkadot
2023-01-17,5.810048234064627,6914982508.280345,54.14285984546231,2021-11-05,dot,Polkadot
2023-01-18,5.963397654520307,7098249474.233347,54.14285984546231,2021-11-05,dot,Polkadot
2023-01-19,5.655251045120312,6726902475.495878,54.14285984546231,2021-11-05,dot,Polkadot
2023-01-20,5.801379267235778,6924736793.838175,54.14285984546231,2021-11-05,dot,Polkadot
2023-01-21,6.254683210538306,7461520990.843851,54.14285984546231,2021-11-05,dot,Polkadot
2023-01-22,6.246217001006929,7452411001.806236,54.14285984546231,2021-11-05,dot,Polkadot
2023-01-23,6.212167847018589,7418382148.705477,54.14285984546231,2021-11-05,dot,Polkadot
2023-01-24,6.589296753282481,7863091567.413891,54.14285984546231,2021-11-05,dot,Polkadot
2023-01-25,6.186292457598319,7395228277.021116,54.14285984546231,2021-11-05,dot,Polkadot
2023-01-26,6.421232137004184,7659051015.469998,54.14285984546231,2021-11-05,dot,Polkadot
2023-01-27,6.468366037302892,7747735674.283517,54.14285984546231,2021-11-05,dot,Polkadot
2023-01-28,6.569930587254382,7856739950.604887,54.14285984546231,2021-11-05,dot,Polkadot
2023-01-29,6.389057965845566,7640327631.38938,54.14285984546231,2021-11-05,dot,Polkadot
2023-01-30,6.621092132215346,7922259197.054451,54.14285984546231,2021-11-05,dot,Polkadot
2023-01-31,6.195536094713961,7410872880.314612,54.14285984546231,2021-11-05,dot,Polkadot
2023-02-01,6.269667976200108,7502144503.192972,54.14285984546231,2021-11-05,dot,Polkadot
2023-02-02,6.470865445518001,7749019076.135509,54.14285984546231,2021-11-05,dot,Polkadot
2023-02-03,6.555954157754909,7861116315.319404,54.14285984546231,2021-11-05,dot,Polkadot
2023-02-04,7.012688935124944,8414262771.289161,54.14285984546231,2021-11-05,dot,Polkadot
2023-02-05,6.896031693361286,8273869515.110414,54.14285984546231,2021-11-05,dot,Polkadot
2023-02-06,6.641842495719097,7973598038.54855,54.14285984546231,2021-11-05,dot,Polkadot
2023-02-07,6.497266700375032,7779070314.796459,54.14285984546231,2021-11-05,dot,Polkadot
2023-02-08,6.948134566018175,8333990416.91506,54.14285984546231,2021-11-05,dot,Polkadot
2023-02-09,6.756755185938241,8110178949.590388,54.14285984546231,2021-11-05,dot,Polkadot
2023-02-10,6.229762039218076,7477194018.495944,54.14285984546231,2021-11-05,dot,Polkadot
2023-02-11,6.188909530502617,7442362927.451278,54.14285984546231,2021-11-05,dot,Polkadot
2023-02-12,6.28372226448598,7543346315.064424,54.14285984546231,2021-11-05,dot,Polkadot
2023-02-13,6.164062517934927,7416773395.914189,54.14285984546231,2021-11-05,dot,Polkadot
2023-02-14,6.118583929495318,7352408834.2737,54.14285984546231,2021-11-05,dot,Polkadot
2023-02-15,6.234367785778781,7496941327.303583,54.14285984546231,2021-11-05,dot,Polkadot
2023-02-16,6.609392900657438,7945712271.908503,54.14285984546231,2021-11-05,dot,Polkadot
2023-02-17,6.388632355427524,7658563981.686901,54.14285984546231,2021-11-05,dot,Polkadot
2023-02-18,7.297050421684514,8780715046.827116,54.14285984546231,2021-11-05,dot,Polkadot
2023-02-19,7.247649982690182,8724929154.706154,54.14285984546231,2021-11-05,dot,Polkadot
2023-02-20,7.439395788318963,8991538134.236885,54.14285984546231,2021-11-05,dot,Polkadot
2023-02-21,7.527218326014244,9059900211.471052,54.14285984546231,2021-11-05,dot,Polkadot
2023-02-22,7.250333872381433,8725074263.862608,54.14285984546231,2021-11-05,dot,Polkadot
2023-02-23,7.170302237747458,8656728943.641329,54.14285984546231,2021-11-05,dot,Polkadot
2023-02-24,7.091543344834797,8528870605.745284,54.14285984546231,2021-11-05,dot,Polkadot
2023-02-25,6.614184848454191,7975206269.458946,54.14285984546231,2021-11-05,dot,Polkadot
2023-02-26,6.53841568333922,7879063917.589614,54.14285984546231,2021-11-05,dot,Polkadot
2023-02-27,6.684255284896303,8070006130.15561,54.14285984546231,2021-11-05,dot,Polkadot
2023-02-28,6.582575515067073,7952520453.615793,54.14285984546231,2021-11-05,dot,Polkadot
