date,price,market_cap,ath_value,ath_date,symbol,name,token
2021-01-01,29022.41839530417,539438036435.6701,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2021-01-02,29352.12679194895,545593282215.2498,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2021-01-03,32163.82493533521,597887713053.5825,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2021-01-04,33008.226203489285,613616917625.6967,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2021-01-05,31515.575966658354,585726270248.7891,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2021-01-06,34082.20604904424,633651671519.3958,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2021-01-07,36933.520137309126,682743683563.0741,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2021-01-08,39547.08408135567,735339707368.3339,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2021-01-09,40815.96185478254,758971014787.3597,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2021-01-10,40296.5290038294,749347201462.6359,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2021-01-11,38397.895985418174,714078952009.0243,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2021-01-12,35669.90668663349,663380898829.0051,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2021-01-13,33938.33587810088,629751630408.4126,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2021-01-14,37456.00772548642,696668634091.3435,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2021-01-15,39232.74997140346,729751433670.0881,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2021-01-16,36787.52121668496,684304915288.2261,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2021-01-17,36254.713079410845,674660879866.02,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2021-01-18,35804.263885674685,672291934493.4396,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2021-01-19,36595.4647692826,682647247200.097,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2021-01-20,36104.86385775514,671734819189.1033,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2021-01-21,35587.489202735545,662434464441.264,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2021-01-22,30913.695736053804,575205510268.1292,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2021-01-23,32957.908782655926,613271077002.4795,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2021-01-24,32068.08737440817,596744391345.3533,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
