date,price,market_cap,ath_value,ath_date,symbol,name
2020-01-01,0.0329119289552144,1020670721.3132112,2.96707544958908,2021-09-04,ada,Cardano
2020-01-02,0.0333619981736328,1038897513.3254246,2.96707544958908,2021-09-04,ada,Cardano
2020-01-03,0.0326178549132033,1015100628.6069512,2.96707544958908,2021-09-04,ada,Cardano
2020-01-04,0.03396737105303,1060794465.037696,2.96707544958908,2021-09-04,ada,Cardano
2020-01-05,0.0342983105505921,1067105660.3890376,2.96707544958908,2021-09-04,ada,Cardano
2020-01-06,0.0344269740004588,1069729851.7474384,2.96707544958908,2021-09-04,ada,Cardano
2020-01-07,0.036998615370016,1150811966.6402338,2.96707544958908,2021-09-04,ada,Cardano
2020-01-08,0.0370003149146818,1151791408.0212848,2.96707544958908,2021-09-04,ada,Cardano
2020-01-09,0.0362252550448545,1130075028.1023777,2.96707544958908,2021-09-04,ada,Cardano
2020-01-10,0.0360681336331278,1120025309.4730992,2.96707544958908,2021-09-04,ada,Cardano
2020-01-11,0.0370446183882769,1142315528.2269332,2.96707544958908,2021-09-04,ada,Cardano
2020-01-12,0.0364423042673414,1140005583.945712,2.96707544958908,2021-09-04,ada,Cardano
2020-01-13,0.037372044999992,1163393929.42041,2.96707544958908,2021-09-04,ada,Cardano
2020-01-14,0.0369431417680016,1149509789.462297,2.96707544958908,2021-09-04,ada,Cardano
2020-01-15,0.0412858483394243,1277612922.8592856,2.96707544958908,2021-09-04,ada,Cardano
2020-01-16,0.0424114804384295,1312253076.5911648,2.96707544958908,2021-09-04,ada,Cardano
2020-01-17,0.0414947727094261,1286089923.7849808,2.96707544958908,2021-09-04,ada,Cardano
2020-01-18,0.0443501818249508,1387851754.2258596,2.96707544958908,2021-09-04,ada,Cardano
2020-01-19,0.0448126727474952,1398527687.6359637,2.96707544958908,2021-09-04,ada,Cardano
2020-01-20,0.0424657528723347,1324878584.1799922,2.96707544958908,2021-09-04,ada,Cardano
2020-01-21,0.0432053382287278,1347506112.4317155,2.96707544958908,2021-09-04,ada,Cardano
2020-01-22,0.0456442899910431,1415740558.2396002,2.96707544958908,2021-09-04,ada,Cardano
2020-01-23,0.045344968823828,1410211923.886814,2.96707544958908,2021-09-04,ada,Cardano
2020-01-24,0.0433842987518649,1348529123.6392128,2.96707544958908,2021-09-04,ada,Cardano
2020-01-25,0.0444529066148971,1382573985.2793734,2.96707544958908,2021-09-04,ada,Cardano
2020-01-26,0.0435431200036232,1359196362.9106965,2.96707544958908,2021-09-04,ada,Cardano
2020-01-27,0.0443725875908692,1381689961.284705,2.96707544958908,2021-09-04,ada,Cardano
2020-01-28,0.0473063437051027,1467722927.7963097,2.96707544958908,2021-09-04,ada,Cardano
2020-01-29,0.0522122148224153,1631232520.7140007,2.96707544958908,2021-09-04,ada,Cardano
2020-01-30,0.0531831896557472,1664173788.5694072,2.96707544958908,2021-09-04,ada,Cardano
2020-01-31,0.0558728991751701,1733739134.7114882,2.96707544958908,2021-09-04,ada,Cardano
2020-02-01,0.0538487645987283,1685694718.5613482,2.96707544958908,2021-09-04,ada,Cardano
2020-02-02,0.05545554842096,1727198232.6784198,2.96707544958908,2021-09-04,ada,Cardano
2020-02-03,0.055766417933093,1737643944.2078435,2.96707544958908,2021-09-04,ada,Cardano
2020-02-04,0.0567639866232986,1765721504.768992,2.96707544958908,2021-09-04,ada,Cardano
2020-02-05,0.0559971039692361,1739481934.7636726,2.96707544958908,2021-09-04,ada,Cardano
2020-02-06,0.0589609918301886,1838841590.66739,2.96707544958908,2021-09-04,ada,Cardano
2020-02-07,0.0597928371104457,1859115447.033716,2.96707544958908,2021-09-04,ada,Cardano
2020-02-08,0.0597741041153736,1859229765.536211,2.96707544958908,2021-09-04,ada,Cardano
2020-02-09,0.0601565113817484,1871644108.075389,2.96707544958908,2021-09-04,ada,Cardano
